,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
FI 07. User filters - General,SYSTEM,Users,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2860,,,,,,"'└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10b. Verdeling naar grootboekrekening - Import', 'IP 25.  IC allocation naar kostenplaats', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 16. Controle Dekking Uren', 'CA 23. Berekend UMDT op L3++ Thema''s', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', 'RP 13. UMDT - Afdeling', 'RP 15. UMDT - Afdeling E/G Regio OPEX', 'RP 18. KPI Waarde over years', 'RP 26. Calculatie seizoenspatronen Totaal', 'RP 21. COEA Versie Variance Totals', 'RP 22. COEA Versie Variance', 'RP 24. FTE Versie Variance Totals', 'FI 12. FIlter DB/TS', '└ FI 07a. User Filters - MJP Drivers L6', '└ FI 07b. User Filters - MJP Drivers L6 & Time', '└ FI 07c. User Filters - Afdeling L5', '└ FI 07d. User Filters - Afdeling L5 SS', '└ FI 07d. User Filters - Afdeling L5 DB/TS', '└ FI 07e. User Filters - KPI', '└ FI 07f. User Filters - Account', '└ FI 07g. User Filters - COEA', '└ FI 07h. User Filters - Kostencategorie', '└ FI 07i. User Filters - COEA-KP-ACC', '└ FI 07j. User Filters - Import Scenario', '└ FI 07k User Filters - Subafdeling L6', '└  FI 07l. User Filters - Tafel L2', '└  FI 07m. User Filters - Activiteit L4 + (UMD)', '└  FI 07n. User Fitlers - Afdeling + Support list', '└  FI 07r. User Filters - Thema L3++ & Afdeling', '└  FI 07s. User Filters - COEA Euros', '└  FI 07t. User Filters - Thema', '└  FI 07t. User Filters - Thema L3++', '└ FI 07u. User Filters - MJP Drivers L6 - Budget', '└ FI 07v. User Filters - KPI_Afdelingen', '└ FI 07w. User Filters - Dummy Afdelingen', '└ FI 07x. User Filters - Allocation Thema/Afdeling/COEA', '└ FI 07y. User Filters - Allocation Activiteiten/Afd./COEA', '└ FI 07z. User Filters - Inflation Selection IP10d', '└ FI 07aa. User Filters - Inflation List Selection', '└ FI 07ab. User Filters - Inflation Selection RP20', '└ FI 07ac. User Filters - Suppress Zeroes RP14', '└ FI 07ad. User Filters - Suppress Zeroes RP13', '└ FI 07ae. User Filters - Suppress Zeroes CA 35c', '└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW', '└ FI 07ag. User Filters - Suppress Zeroes OPEX', '└ FI 07ah. User Filters - Suppress Zeroes CAPEX', '└ FI 07ai. User Filters - Activiteit_kostenplaats', '└ FI 07aj. User Filters - Suppress Zeroes RP15', '└ FI 07ak. User Filters - Suppress Zeroes IP 35', '└ FI 07al. User Filters - Suppress Zeroes RP 29', '└ FI 07am. Suppress Zeroes CA 35e.', '└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC', '└ FI 07ba. User Filters - Rekeningcategorie', '└ FI 07bb. User Filters - OPEX Type', '└ FI 07bc. User Filters - Product', '└ FI 07bd. User Filters - Regio', 'FI 09. Driver DB Filter', 'FI 11. Activiteit L4 +', 'FI 15. Netverder dashboarding', 'IM 14. Risico''s  & Kansen', 'IM 37. SIP Activiteit L4 +', 'IM 43. KPI_Afdeling', 'MA 07. Kostenplaats L7 Aggregation mapping - Version based', 'MA 09. Account L12 aggregation mapping - Version based', 'MA 11. Afdeling op L3++', 'MA 12.  Afdeling op L4+'",,"Versies, FSP Version, Versie vergelijking, Versie 1, Versie 2, Organisatie, Entiteit, Afdelingsgroep, Afdeling, Afdeling (IC), Afdeling (DB/TS), Afdeling (OPS SIP), Afdeling (OPS), Subafdeling (OPS), Subafdeling, Kostenplaats SS, Kostenplaats, Afdelingen, Financieel, COEA, COEA (ex AFD), COE - Euros, COE - Euros TEST, COE - Activiteit, Kostensoort, Grootboekrekening, Account for Support Issue, Rekeningcategorieen, Account, Account - DB/TS, OPEX Type, Regio, Product, Other, Suppress Zero's, Toon waarde > 0?, Toon verplichte KPI's?, Toon PPT KPI's?, Toon MJP incl. Inflatie?, Netverder PPT?, Toon zonder toewijzing?, User KPI, Tafel/Thema, Tafel, Thema, Thema L3++, Activiteit L4 +, KPI's, SPIN - KPI, KPI Filtering"
└ FI 07a. User Filters - MJP Drivers L6,SYSTEM,"Users, MJP Kostenplaats L7",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,641160,,,,,,'└ IP 10e. Maand FTE Verdeling naar KP',,"Filter Activiteit, Filter Afdeling, Filter Subafdeling, Filter Kostenplaats, Filter DB/TS, Filter Budget SS afdeling, Filter Budget SS Subafdeling, Filter Budget SS Kostenplaats - Empty shows nothing, Filter Budget SS Kostenplaats, User Filter Afdeling, User Filter Afdeling - empty shows all, User Filter - Only select one item, User Filter - Afdeling L5, User Filter - L5 plus L7"
└ FI 07b. User Filters - MJP Drivers L6 & Time,SYSTEM,"Users, MJP Kostenplaats L7",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,775125,,,,,,,,Filter
└ FI 07c. User Filters - Afdeling L5,SYSTEM,"Users, Afdeling L5",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,94770,,,,,,"'RP 03. DB / TS Overview', '└ FI 07d. User Filters - Afdeling L5 DB/TS'",,"Filter Afdeling only, Filter Afdeling OPS SIP, Filter Afdeling OPS, Filter, Filter hide blank selection, Filter hide blank selection (IC), Filter hide blank selection (DB/TS)"
└ FI 07d. User Filters - Afdeling L5 SS,SYSTEM,"Users, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,16574,Duplicate module name prefix,,,,,,,"Item, Filter general afdeling, Filter OPS SIP afdeling, Filter Dummy, Filter afdeling 2, Test, Filter Afdeling IC, Instandhouding?"
└ FI 07d. User Filters - Afdeling L5 DB/TS,SYSTEM,"Users, SS Afdeling L5 - Doorbelastingen en toeslagen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3770,Duplicate module name prefix,,,,,,,"Filter DB/TS, Filter DB/TS 2"
└ FI 07e. User Filters - KPI,SYSTEM,"Users, KPI's",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,195000,,,,,,,,"Afdeling, Filter Afdeling, Filter User, Users, Filter Verplicht?, Verplicht?"
└ FI 07f. User Filters - Account,SYSTEM,"Users, SS - Account L12 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,43550,,,,,,'└ FI 07i. User Filters - COEA-KP-ACC',,"GREN, Rekeningcategorie, Filter, Filter 2, Filter Account op Rekeningcategorie, Filter Account DB/TS"
└ FI 07g. User Filters - COEA,SYSTEM,"Users, COEA",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,975,,,,,,,,"COEA, Filter, Filter 2"
└ FI 07h. User Filters - Kostencategorie,SYSTEM,"Users, LIS (DA45) Budgetitems",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,715,,,,,,,,Filter
└ FI 07i. User Filters - COEA-KP-ACC,SYSTEM,"Users, Uni-code COEA-MJP-ACC",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4528030,,,,,,'RP 26. Calculatie seizoenspatronen Totaal',,"COEA, Filter COEA, Afdeling, Filter Afdeling, Kostenplaats, Filter Kostenplaats, Account, Filter Account obv kostensoort, Filter Account obv rekeningcategorie, Filter Account obv account, Show? Kostensoort, Show? Rekeningcategorie, Show? Account"
└ FI 07j. User Filters - Import Scenario,SYSTEM,"Users, Import Scenario",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,650,,,,,,,,"Filter Scenario - Inflation selection shows both, Filter Scenario - Inflation selection shows one"
└ FI 07k User Filters - Subafdeling L6,SYSTEM,"Users, Subafdeling L6",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,40495,,,,,,'FI 16. Filter Prestatiesoort',,"Filter, Filter (OPS), Filter subafdeling, Filter subafdeling OPS"
└  FI 07l. User Filters - Tafel L2,SYSTEM,"Users, SIP Tafel L2",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,780,,,,,,,,Tafel
└  FI 07m. User Filters - Activiteit L4 + (UMD),SYSTEM,"Users, SIP Activiteit L4 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,210210,,,,,,,,"Activiteit L4+ Filter, Activiteit L4+ Filter based on Afdeling selection"
└  FI 07n. User Fitlers - Afdeling + Support list,SYSTEM,"Users, Support list #10, SS Afdeling L5 - IC",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,18590,HV: TBD? Checking,,,,,,,Filter
└  FI 07p. User Filters - Accounts Active SS,SYSTEM,"Users, SS - Account L12 - Active",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,36270,,,,,,,,"Mapped Rekeningcategorie, Filter Rekeningcategorieen"
└  FI 07q. User Filters -Kostensoort,SYSTEM,"Users, Kostensoort",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,455,,,,,,,,User filter Kostensoort
└  FI 07r. User Filters - Thema L3++ & Afdeling,SYSTEM,"Users, MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - OPS (SIP)",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,7503535,,,,,,,,"Planning, Planning Filter, Planning filter (OPS SIP), Planning filter COEA, Thema L3++ Filter, Filter zeros, Suppress Zero's IP40, Afdeling Filter, Planning/Thema Filter"
└  FI 07s. User Filters - COEA Euros,SYSTEM,"Users, SS - COEA - zonder AFD",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,979,,,,,,,,"Item, COEA 1 Filter, COE 2 Filter, COEA 3 Filter, COEA Ex-afd Filter"
└  FI 07t. User Filters - Thema,SYSTEM,"Users, SIP Thema L3",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,22815,,,,,,,,"Thema L3 User Filter, Thema L3 User Filter - Empty shows parent, ---Technical---, Total?"
└  FI 07t. User Filters - Thema L3++,SYSTEM,"Users, SIP Thema L3++",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,15340,,,,,,'└  FI 07r. User Filters - Thema L3++ & Afdeling',,Thema L3++ User Filter
└ FI 07u. User Filters - MJP Drivers L6 - Budget,SYSTEM,"Users, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,143780,HV: All filters used in UX- AK and TOTEX sections,,,,,'└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW',,"Filter Afdeling, Filter Subafdeling, Filter Afdeling DB/TS, Filter Afdeling/Subadfeling"
└ FI 07v. User Filters - KPI_Afdelingen,SYSTEM,"Users, KPI_Afdeling",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,479700,,,,,,,,"Afdeling filter, Verplicht Filter, PPT Filter, Combined filter, SPIN - KPI FIlter, KPI Cluster Filter"
└ FI 07w. User Filters - Dummy Afdelingen,SYSTEM,"Users, Dummy Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4488,,,,,,,,"AN Afdeling, Afdeling L5, Afdeling L5 Filter, Dummy Afdeling Filter"
└ FI 07x. User Filters - Allocation Thema/Afdeling/COEA,SYSTEM,"Users, MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,18307380,"KR: Created and applied FI 18. Non-user based version, if FI 07x is unused delete it.",,,,,,,Filter waarde
└ FI 07y. User Filters - Allocation Activiteiten/Afd./COEA,SYSTEM,"Users, MJP Versions L2, SIP Activiteit L4 +, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,127960560,,,,,,,,Filter waarde
└ FI 07z. User Filters - Inflation Selection IP10d,SYSTEM,"Users, LIS (IP 10d) Waarde Selectie",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,130,,,,,,,,Selectie
└ FI 07aa. User Filters - Inflation List Selection,SYSTEM,"Users, Inflatie excl/incl",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,130,,,,,,,,Selection
└ FI 07ab. User Filters - Inflation Selection RP20,SYSTEM,"Users, LIS (RP 20) Waarde Selectie",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,130,,,,,,,,Selectie
└ FI 07ac. User Filters - Suppress Zeroes RP14,SYSTEM,"Users, MJP Versions L2, SIP Thema L3, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,50466780,,,,,,,,Suppress Zeroes
└ FI 07ad. User Filters - Suppress Zeroes RP13,SYSTEM,"Users, MJP Versions L2, SIP Thema L3, UMDT Items, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,49189140,,,,,,,,Suppress Zeroes
└ FI 07ae. User Filters - Suppress Zeroes CA 35c,SYSTEM,"Users, MJP Versions L2, Activiteit_Kostenplaats, Dummy Maand, SS - COEA - zonder AFD, LIS (CA 21) UMD - Activiteit L4+",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,34070400,,,,,,,,"Selectie, COE"
└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW,SYSTEM,"Users, MJP Versions L2, COEA, Rekeningcategorie, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,7009275,,,,,,,,Suppress zeroes?
└ FI 07ag. User Filters - Suppress Zeroes OPEX,SYSTEM,"Users, MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP11a) OPEX - Specificatie",Year,TR MJP inclusief totaal,Not Applicable,New Line Items: Off,Show All Users: On,22932000,,,,,,,,"Hardcoded Summary?, Suppress Zeroes"
└ FI 07ah. User Filters - Suppress Zeroes CAPEX,SYSTEM,"Users, MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 10a) capex mapping Themas L3",Year,TR MJP inclusief totaal,Not Applicable,New Line Items: Off,Show All Users: On,32104800,,,,,,,,"Hardcoded Summary?, Suppress Zeroes"
└ FI 07ai. User Filters - Activiteit_kostenplaats,SYSTEM,"Users, Activiteit_Kostenplaats",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,27105,,,,,,,,"Afdeling, Activiteit, Kostenplaats"
└ FI 07aj. User Filters - Suppress Zeroes RP15,SYSTEM,"Users, MJP Versions L2, SIP Thema L3, UMDT Items, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,49189140,,,,,,,,Suppress zeroes
└ FI 07ak. User Filters - Suppress Zeroes IP 35,SYSTEM,"Users, MJP Versions L2, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,107835,,,,,,,,Filter - Suppress Zero
└ FI 07al. User Filters - Suppress Zeroes RP 29,SYSTEM,"Users, MJP Versions L2, Inflatie excl/incl, Rekeningcategorie, SS Afdeling L5 - Budget Afdelingen, SS - COEA - P&L",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,993720,,,,,,,,Suppress zeroes
└ FI 07am. Suppress Zeroes CA 35e.,SYSTEM,"Users, MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,36614760,,,,,,,,"Value, Suppress Zeroes"
└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC,SYSTEM,"Users, MJP Versions L2, Uni-code COEA-MJP-ACC",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1068210,,,,,,,,Verdeling nog in te vullen
└ FI 07ba. User Filters - Rekeningcategorie,SYSTEM,"Users, Rekeningcategorie",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1638,,,,,,,,"ITEM, Filter - Selected Rekeningcategorie, Filter - Rekeningcategorie - Empty is total"
└ FI 07bb. User Filters - OPEX Type,SYSTEM,"Users, OPEX Type",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,195,,,,,,,,Filter - Selected OPEX Type
└ FI 07bc. User Filters - Product,SYSTEM,"Users, Product",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,260,,,,,,,,Filter - Selected Product
└ FI 07bd. User Filters - Regio,SYSTEM,"Users, Regio",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,390,,,,,,,,Filter - Selected Regio
FI 09. Driver DB Filter,SYSTEM,"Users, MJP Versions L2, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1993290,,,,,,,,"User Selected Driver, Filter Percentages, Filter Values, Filter values <added dimension>, User Selected Driver NEW, Filter Percentages NEW, Filter Values NEW"
FI 11. Activiteit L4 +,SYSTEM,"Users, MJP Versions L2, SIP Activiteit L4 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,131224860,,,,,,,,"Afdeling filter, Afdeling planning filter, Default planning Filter, Thema Filter, Planning/Thema Filter, temp, Filter zeros, Suppress Zero's"
FI 16. Filter Prestatiesoort,,"F2 Prestatiesoorten, SS Afdeling L5 - OPS",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,11377,,,,,,,,"Filter, Filter subset"
FI 15. Netverder dashboarding,SYSTEM,"Users, LIS (IP 31) Netverder",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,6435,HV: ??,,,,,,,"Show PPT Slide, Show in PPT?, Filter"
⠀⠀⠀       ◼️ Information Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
IM 99. Lookup lists,SYSTEM,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,108,,,,,,"'└ DA 28a. Meerjarenplan Euros Driver Selectie', '└ DA 28a NEW. Meerjarenplan Euros Driver Selectie', '└ DA 28b. Meerjarenplan Euros SIP Thema selectie', 'DA 29. Meerjarenplan FTEs per jaar', 'IP 10x1. NEW Afdelingkosten naar KP', '└ IP 10c. Selecteer seizoenspatroon', '└ IP 10d. Calculatie seizoenspatronen', '└ IP 10f. NEW - Jaar FTE tarief/uren per KP', 'IP 11. IC & Leenmonteurs input', 'IP 13. UMDT op Activiteiten', 'IP 19. UMDT op L3++ Thema''s', 'IP 31. Netverder', 'IP 37. Verdeling FTE niet prestatiesoort', 'IP 40. Input Thema L3++ split', 'IP 41. Input Activiteit L4+ split', 'IP 48. KPI report creation input', 'CA 04. FTE naar COEA', 'CA 05. Risico & Kansen', 'CA 07. Variante SIP/MJP', 'CA 11 NEW. Verdeling naar Grootboekrekening', 'CA 16. Controle Dekking Uren', 'CA 20. Toeslag Direct', 'CA 21. Berekend UMDT op Activiteit', '└ CA 21c. UMDT + Inflatie (L4+)', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', 'CA 23. Berekend UMDT op L3++ Thema''s', '└ CA 23c. UMDT + Inflatie (L3+)', 'CA 24. Budget Kosten uren uitvoeringskosten-TBD', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 25. Budget Uren uitvoeringskosten', 'CA 26. Calculatie Toeslag Indirect', 'CA 32. Toeslag Indirect MJP', 'CA 38. Toeslagen GBR', 'CA 42. Materiaal Staging Thema L3++', 'CA 43. Materiaal Staging Activiteit L4+', 'CA 48. Personeelskosten naar maand', 'CA 52. UMDT - Thema Regio EG', 'CA 53. UMDT - Activiteit Regio EG', 'CA 54. Bezettingsresultaat en dekkingsgraad', 'CA 55. Correctiefactor', 'CA 57. Uurtarief Afdeling', 'CA 58. Uurtarief Subafdeling', 'CA 99. Samenvatting', 'CA 40. BAK Inflatie + Meerjarig', 'CA 41. Netverder Inflatie', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'RP 03. DB / TS Overview', 'RP 06. samenvatting MJP', '└ RP 06a. samenvatting COEA', 'RP 07. formatie ontwikkeling', 'RP 08. Formatie MJP', 'RP 09. Afdelingskosten', 'RP 10 MJP CAPEX - UMD', '└ RP 10a. MJP CAPEX - Specificatie', 'RP 11. MJP OPEX - UMD', '└ RP 11a. MJP OPEX - Specificatie', 'RP 12. MJP EXTERN - UMD', '└ RP 12a. MJP Extern - Specificatie', 'RP 15. UMDT - Afdeling E/G Regio OPEX', '└ RP 18b. Powerpoint KPI''s Master Data', 'RP 29. P&L Overzicht', 'RP 23. Controle Dekking Uren', 'RP 27. Check report overview', 'RP 30. Controle DB en TS', 'FI 10. Account', '└ FI 07am. Suppress Zeroes CA 35e.', 'FI 09. Driver DB Filter', 'IM 01. Account L12', 'IM 33. Rekeningcategorie', 'IM 69. Inflatie', 'MA 04. Mapping Rekeningcategorie naar COEA', 'MA 06. NEW. COEA -> Rekeningcategorie', 'SET 05. MJP Version Control', 'EX 01. Export plan to FSP', '└EX 01a. Export netverliezen to FSP', '└EX 01b. Export IKT Data  to FSP', '└EX 01c. Export IKT growth  to FSP', '└EX 01d. Export Tafel/Thema to FSP', 'EX 05. DB/TS export to AACxUMD', 'EX 06. Export inflatie to Datahub', 'EX 07. Uurtarief export to Data Hub Subafdeling', 'EX 08. Uurtarief export to Data Hub Afdeling', 'EX 09. Export Directe Toeslagen to AACx UMD', 'EX xx. Export plan to FSP', '└EX 01a. Export plan to FSP - BAK', '└EX 01b. Export plan to FSP - % Personeelkosten'",,"DB/TS, IT (DB/TS), NS reiskosten, Huisvestiging, Wagenpark, Gereedschap, Kleding, Terughaalactie, Bedrijfsvoering (OLD, Management Fee, Magazijntoeslag, OPS Support, Netwerkontwikkeling, Inkoop, VGMK, Bedrijfsvoering toeslag, Account L12, Materiaal - Magazijn, Materiaal - Overig, COEA, COEA - OPEX, COEA - CAPEX, COEA - Extern, COEA - Afdelingskosten, Tijd, December budget jaar, FTE, FTE - Eigen, FTE - Inleen, FTE - Totaal, CAPEX / OPEX, SS Capex, SS Opex, OPEX BAK, CAPEX bak, Afdelingen, Netverder, Eenheid, Stelpost, Stuks, Seizoenspatroon, Op basis van FTE, Actuals, Automatische Allocatie, Previous MJP, Grootboekrekening, Automatische allocatie driver, Eigen invoer driver, CY Actuals driver, LY Actuals driver, Laatste MJP driver, Rekeningcategorieen, RC - Activering, RC - Omzet, RC - Personeelkosten, RC - Materiaal Kosten, RC - Diensten Derden, RC - Overige Kosten, RC - Uren, RC - Toeslag direct, RC - Toeslag indirect, RC - Doorbelastingen, RC - IC Kosten, RC - niet cf IAS 16, Kostensoort, Kostensoort Inleen, Kostensoort Personeel, IAS 16 Kosten, SPP, Consignatiedienst, PPO, CSR, BBL Leerlingen, Change activiteiten, Opleidingskosten, Overig IAS 16, UMDT Items, UMDT Total, LIS IP 10new, Handmatig, Berekening, Totaal, Intercompany/Leenmonteuir, Intercompany, Leenmonteur, Regio, Regio overig, LIS CA  29 MJP, CA 29 - Activering, CA 29 - Omzet, CA 29 - Uren, CA 29 - Toeslag Direct, CA 29 - Toeslag Indirect, CA 29 - Personeelskosten, CA 29 - Doorbelastingen, CA 29 - Diensten Derden, CA 29 - Materiaal, CA 29 - Overig Kosten, CA 29 - IC, CA 29 - niet cf IAS 16, CA 29 - Totaal, Inflatie, Exclusief infaltie, Inclusief Inflatie, E/G/O, Elektra, Gas, OPEX Type, Regulier, LIS CA 21, LIS CA 21 UMDT, CA 22a, CA 22a - Netwerkontwikkeling, CA 22a - VGMK, CA 22a - Inkoop, CA 22a - Bedrijfsvoering, Indirecte toeslag, LIS CA 23, LIS CA 23 UMDT, LIS CA 24, LIS CA24 Personeelskosten, LIS CA24 Totaal, LIS CA24 Totaal Niet IAS 16, LIS CA 24 v2, LIS CA 24 Personeelskosten v2, LIS CA24 Totaal v2, LIS CA24 Totaal niet IAS 16 v2, KPI, PPT #KPI's per page, Export FSP, Export AAC x UMD, TEMP 2026, KPI or Randvoorwaarde - KPI, KPI or Randvoorwaarde - Randvoorwaarde?"
